Number_of_Customers_Per_Day,Average_Order_Value,Operating_Hours_Per_Day,Number_of_Employees,Marketing_Spend_Per_Day,Location_Foot_Traffic
391,5.04,11,2,494.3,311
364,3.74,6,11,175.62,920
209,2.62,8,12,387.19,938
496,2.97,8,10,377.01,578
60,8.21,12,10,348.14,138
149,9.11,15,2,446.58,907
124,3.13,6,11,375.24,958
304,2.57,16,10,438.75,445
296,6.39,13,8,76.46,715
236,8.16,15,8,239.9,280
164,2.64,13,5,445.98,905
429,3.24,15,7,45.81,880
296,5.53,15,4,324.37,704
343,4.63,17,7,210.68,393
285,4.83,11,8,220.43,926
269,5.11,15,11,294.98,848
458,6.55,7,4,393.55,998
219,7.12,13,13,72.17,684
81,6.25,16,10,14.56,695
498,6.54,14,5,374.78,788
420,4.45,12,5,468.92,935
197,3.55,15,3,277.99,293
282,5.84,15,12,407.36,862
288,3.7,14,11,44.57,161
116,5.46,15,10,248.67,235
379,9.07,6,4,437.06,933
112,3.75,15,3,287.22,106
356,5.09,11,10,193.91,213
68,7.32,16,3,393.6,367
162,4.76,7,10,165.07,862
471,6.84,16,5,291.01,442
217,4.89,11,5,187.47,94
107,5.52,8,8,69.04,325
114,8.39,17,6,461.18,245
214,6.4,6,9,127.29,317
202,8.44,6,7,284.96,448
173,3.37,9,7,95.25,700
341,4.31,10,9,372.34,947
333,6.75,15,11,395.49,580
300,4.53,6,3,184.09,496
352,9.57,16,12,330.9,949
280,9.02,16,4,450.81,306
319,6.93,8,11,65.3,635
127,8.05,13,12,404.5,574
406,6.45,13,11,467.37,928
145,4.72,8,13,429.91,314
316,5.52,7,7,117.34,327
459,7.12,11,5,409.87,759
192,9.05,17,3,168.53,492
179,5.03,6,2,83.46,922
449,6.38,12,13,88.75,520
346,2.88,9,14,362.78,654
100,4.54,8,12,332.86,405
435,9.37,9,5,71.97,579
197,8.69,17,4,120.58,880
138,3.48,7,3,302.06,366
241,8.23,13,12,495.41,142
232,7.33,14,11,164.15,936
240,5.8,11,6,422.39,609
484,6.95,17,13,55.82,641
110,7.78,7,12,237.53,942
238,7.85,10,11,360.2,326
288,7.55,13,10,68.88,964
469,5.87,11,7,92.74,653
386,4.62,16,13,176.43,160
276,8.5,8,4,337.94,918
489,4.68,16,2,203.23,788
196,2.68,13,4,14.16,664
143,2.69,9,6,105.12,126
419,9.48,10,2,237.27,923
186,9.91,14,7,127.95,789
393,3.71,9,3,490.18,651
53,2.83,8,9,380.59,513
434,3.75,14,5,31.85,641
445,7.1,15,2,474.31,123
279,7.08,17,2,142.17,517
209,7.44,10,10,464.03,923
100,7.66,8,14,456.98,627
222,9.96,16,4,45.54,430
57,7.43,13,7,191.54,521
197,7.25,9,11,259.47,285
169,2.54,17,11,248.38,910
119,5.09,11,11,465.7,296
368,9.84,11,12,294.67,396
473,8.26,9,3,435.71,976
110,7.4,12,14,123.82,834
112,4.51,16,8,31.48,691
285,7.72,12,2,192.6,913
393,5.2,13,12,474.18,422
298,6.39,16,4,381.61,801
402,5.4,15,7,291.25,800
148,4.12,11,3,72.28,972
209,9.09,12,8,251.56,869
245,9.53,12,4,434.74,531
444,3.99,14,6,347.87,310
162,5.41,10,5,159.5,776
282,9.56,7,7,379.92,367
192,5.1,15,9,139.83,924
328,2.81,15,13,470.94,375
437,8.66,17,6,481.16,696
264,7.08,8,11,378.68,103
478,4.66,13,13,67.6,947
181,7.92,13,8,118.67,302
416,9.98,17,10,483.07,576
108,2.56,8,7,261.16,456
134,9.03,10,9,76.14,619
267,3.19,8,5,90.71,628
377,6.88,11,11,191.0,648
264,7.28,8,6,416.8,492
313,6.42,12,4,481.09,951
471,4.15,9,8,46.95,148
402,4.53,10,12,297.52,301
139,3.0,17,3,175.8,98
429,5.15,13,3,439.21,797
427,9.6,12,4,324.72,681
358,6.89,11,3,234.54,427
277,5.21,14,3,270.86,966
176,3.49,7,11,57.71,639
101,5.67,7,8,377.83,672
315,4.38,17,12,340.81,93
152,6.35,8,9,137.13,999
91,6.56,7,14,410.23,748
464,7.67,7,4,434.63,929
387,7.62,15,9,396.57,256
495,9.32,10,10,172.68,523
72,9.75,9,6,228.41,57
428,8.35,15,14,383.56,309
275,3.86,6,3,65.69,640
64,5.02,13,2,32.88,179
303,8.37,12,3,272.49,954
115,9.81,17,14,336.54,316
200,9.53,7,8,41.16,294
399,4.56,15,7,216.67,695
372,6.48,15,6,21.48,991
460,8.94,12,14,414.69,134
206,7.92,13,11,403.3,209
153,7.44,17,5,440.94,552
215,3.1,11,4,152.69,939
246,5.94,13,9,450.31,450
363,9.94,13,2,356.54,910
138,3.66,7,12,480.2,434
233,8.78,8,11,499.61,763
460,2.75,6,12,428.66,632
71,4.8,10,9,488.48,806
405,5.78,6,14,207.36,315
154,3.14,14,3,484.25,124
330,6.6,11,5,473.43,905
335,7.82,12,7,499.74,722
144,5.35,17,12,130.71,896
492,4.57,14,6,284.35,999
154,5.75,12,3,311.3,962
106,3.74,10,7,422.14,575
324,4.79,6,14,419.78,997
471,4.02,16,8,217.94,307
332,7.82,7,4,459.21,426
469,8.43,8,9,472.22,816
342,3.98,6,3,340.35,544
56,2.98,13,8,208.45,731
100,8.29,10,13,179.89,824
209,2.75,13,10,453.82,233
96,9.2,16,11,347.75,225
399,8.72,14,8,268.14,814
369,2.79,11,8,29.01,969
239,4.22,9,6,188.17,78
307,8.08,13,12,340.4,518
484,8.36,9,4,441.81,918
278,6.35,7,13,466.55,267
440,7.87,16,11,446.02,851
236,4.18,6,2,38.54,380
141,3.81,17,6,175.23,512
394,8.35,9,11,162.08,681
282,6.3,7,5,45.23,486
182,3.0,7,3,338.94,224
366,7.53,10,3,150.76,705
369,3.01,6,11,362.5,637
111,3.03,16,2,311.62,906
363,7.24,11,7,197.59,861
450,6.21,11,3,119.57,177
186,9.31,16,7,325.25,467
139,4.54,8,3,255.71,723
409,7.5,6,7,469.48,899
162,5.44,15,6,213.73,971
457,7.27,11,8,489.15,635
84,3.55,7,4,464.97,161
54,5.2,16,5,325.66,986
89,9.66,10,12,427.23,732
169,8.54,17,3,313.6,328
182,8.4,8,6,346.0,773
375,3.17,15,12,493.11,144
305,3.22,15,12,76.67,599
103,5.73,17,6,292.14,668
290,7.18,8,10,262.14,224
201,8.71,12,3,255.1,309
499,6.38,17,10,66.97,273
195,7.84,10,13,306.05,464
413,7.15,11,13,405.74,686
210,8.24,16,12,175.98,398
97,3.34,11,8,117.5,916
386,6.56,7,14,222.29,729
418,8.31,14,10,171.25,146
51,2.93,11,13,494.78,602
93,9.5,16,4,235.37,631
212,4.73,10,14,346.18,216
219,9.3,15,6,220.62,696
197,3.2,13,7,54.45,777
422,6.62,13,8,383.47,70
96,9.88,7,2,226.9,887
199,3.47,11,2,90.17,887
334,9.96,15,12,365.03,174
410,2.68,7,10,181.81,486
356,3.85,9,5,88.24,766
443,8.27,12,12,104.74,75
86,8.35,7,14,92.38,207
420,3.75,11,7,395.62,196
63,4.77,16,7,197.91,776
150,7.66,8,8,39.73,738
258,9.68,10,9,356.25,886
474,8.53,13,9,57.44,526
408,4.08,11,10,483.15,852
409,6.23,7,14,124.51,668
54,7.8,7,13,185.78,67
280,5.89,6,9,174.35,108
300,2.97,14,5,257.42,295
286,8.29,7,3,346.15,511
314,9.15,13,5,471.23,869
173,9.01,10,3,489.68,419
105,8.89,17,10,125.43,608
322,4.56,14,10,166.22,654
96,7.8,17,14,408.04,524
84,7.7,12,10,488.94,860
420,7.36,12,13,318.32,376
309,7.29,15,11,318.54,830
60,3.85,12,7,348.41,179
315,5.26,15,14,227.8,914
197,4.04,17,6,491.96,815
409,9.04,16,5,289.05,947
201,5.19,11,12,104.79,727
488,3.8,16,8,427.25,563
243,9.1,17,3,149.41,994
360,6.34,8,4,141.16,301
204,7.93,16,14,93.7,885
127,4.09,11,14,453.74,704
196,6.63,15,8,194.23,768
318,7.79,12,7,448.11,214
440,5.45,16,6,21.06,592
380,7.27,14,5,37.13,871
494,6.5,7,3,215.28,478
386,3.17,16,2,399.38,888
102,2.74,8,9,498.15,187
181,5.42,16,14,184.64,579
428,7.89,7,7,275.73,924
158,8.9,11,10,293.77,423
266,5.12,8,14,373.89,747
435,7.43,9,12,52.83,345
465,8.97,11,5,374.24,512
209,5.66,15,7,102.36,415
398,6.12,17,5,337.0,576
188,7.39,9,5,13.48,148
217,9.67,14,3,274.87,135
301,3.89,14,14,357.21,763
457,9.1,6,9,469.37,719
169,4.7,11,4,62.0,757
420,7.43,16,11,68.68,806
124,7.65,17,9,195.89,887
240,4.56,15,11,91.6,136
494,9.57,13,8,385.76,686
171,7.73,7,5,344.51,135
306,4.45,14,3,28.41,111
84,6.7,17,11,266.41,854
460,9.58,6,14,304.47,458
341,9.15,11,13,392.43,314
409,2.57,6,5,459.96,468
486,5.48,16,3,83.21,989
329,9.5,17,14,437.47,113
342,3.33,17,9,248.36,164
144,9.45,17,3,125.95,768
211,4.22,6,4,44.33,71
495,2.73,14,6,68.99,846
414,4.95,6,2,156.47,495
247,3.61,12,9,264.0,345
322,5.01,6,6,178.85,617
164,2.81,13,2,415.53,403
133,7.65,11,8,233.6,219
390,6.77,7,8,48.56,840
408,8.75,14,11,265.71,417
146,6.41,6,9,315.05,610
431,7.97,8,6,228.92,515
454,9.47,16,5,481.56,862
310,5.79,7,7,54.56,191
298,9.18,6,6,123.06,835
218,7.06,13,12,390.17,284
343,8.74,17,3,346.47,452
222,5.86,15,10,300.32,641
239,5.36,6,4,109.72,513
100,6.56,6,2,302.07,865
269,7.03,15,9,94.65,177
265,8.23,15,14,327.57,842
490,6.78,8,14,359.69,150
482,2.82,13,5,469.97,859
302,7.28,6,9,184.82,70
331,7.69,14,8,310.57,616
220,3.08,10,10,473.11,280
344,4.44,12,10,454.8,109
406,3.24,13,9,377.58,832
303,9.86,6,5,85.87,589
197,2.77,10,7,46.82,524
54,9.16,8,7,147.04,718
345,8.32,10,9,95.24,150
429,3.1,6,10,104.23,266
107,9.45,16,5,103.29,724
343,5.89,14,4,94.47,313
420,6.38,14,8,484.33,904
422,5.95,14,2,141.74,717
337,2.61,13,5,48.83,137
333,9.64,17,4,189.71,590
282,4.95,9,6,250.25,658
247,7.17,11,14,177.37,299
372,2.68,9,7,419.68,692
359,4.66,6,9,170.04,622
104,4.38,13,9,150.25,526
496,5.88,6,6,206.48,140
136,4.51,14,9,10.2,535
368,8.43,6,7,335.11,489
266,9.19,9,8,499.46,147
179,8.02,14,2,287.76,745
183,8.02,15,6,337.96,83
88,9.58,6,10,184.47,449
113,4.91,12,11,485.63,550
183,2.73,14,12,95.64,74
326,7.13,10,2,235.69,780
132,3.97,17,12,313.8,806
199,3.64,17,13,401.24,240
429,3.44,9,9,444.43,733
412,9.32,16,11,453.02,875
247,4.78,12,14,175.06,313
311,6.65,13,3,448.05,948
133,8.59,9,4,458.55,933
334,5.93,17,13,32.57,75
447,9.67,11,13,373.58,530
107,4.52,12,8,86.29,236
203,2.76,14,4,115.48,769
57,3.43,17,2,183.95,853
322,6.32,10,8,51.48,355
72,4.98,14,10,167.1,427
450,2.8,12,8,83.2,184
326,6.44,9,8,11.92,951
296,7.86,6,8,138.63,669
398,7.13,11,4,218.69,468
274,6.5,9,13,434.9,898
410,2.94,11,12,101.58,236
345,6.56,13,5,305.86,804
167,7.93,10,3,385.49,397
156,4.61,8,9,37.98,813
267,9.39,16,13,426.78,957
438,8.45,15,6,182.34,849
282,4.28,16,12,393.75,734
231,2.53,7,5,408.24,684
439,4.57,10,2,354.29,700
184,4.33,15,7,364.11,965
75,3.01,17,10,81.36,342
440,4.93,7,10,129.29,171
440,5.03,12,8,199.26,281
63,6.87,10,6,407.44,464
455,9.73,16,13,179.35,729
238,4.84,12,4,288.72,840
466,3.83,15,3,362.8,254
481,2.97,12,11,267.71,270
50,6.14,10,6,294.07,812
117,3.91,12,4,482.7,726
472,5.01,8,6,42.66,868
380,7.14,16,9,140.39,892
179,8.86,15,11,96.1,302
335,5.27,14,8,241.98,565
226,5.41,8,13,140.93,118
166,9.82,12,8,422.84,972
372,5.95,8,9,288.92,185
444,9.9,8,14,45.72,52
316,3.7,17,2,385.72,374
355,7.26,11,5,452.6,534
451,8.0,11,14,383.4,165
203,5.75,16,8,99.95,390
214,7.87,9,9,414.47,947
310,7.17,7,9,371.69,669
85,9.76,15,12,225.9,578
133,5.28,10,4,240.7,420
161,9.88,9,3,341.75,437
340,6.64,16,7,243.27,431
412,8.05,14,5,290.23,784
150,4.05,14,8,222.99,739
77,9.19,11,7,357.79,861
438,4.36,12,6,34.09,923
384,7.99,8,11,388.41,293
449,3.26,11,11,194.33,539
326,8.41,8,5,436.31,979
437,9.63,14,3,409.82,337
50,3.81,15,10,279.21,285
164,8.07,16,2,492.91,358
279,5.51,14,13,359.84,154
276,6.87,12,2,285.06,933
276,2.7,13,14,296.97,271
441,7.0,16,5,480.28,964
87,5.09,11,3,387.91,653
171,6.66,6,5,14.92,661
331,9.33,13,8,205.25,581
227,5.34,8,11,103.83,796
435,3.07,17,4,246.35,198
143,4.29,11,14,247.78,956
56,8.85,11,7,220.86,618
466,3.63,10,14,490.2,368
391,4.79,15,3,116.67,229
495,8.25,9,4,210.91,831
382,7.69,8,13,186.31,207
89,4.32,16,2,468.64,870
273,6.58,7,10,119.4,678
409,8.92,6,6,420.06,764
63,5.27,8,12,68.44,77
239,6.38,7,12,189.03,684
61,6.22,13,13,285.43,680
224,6.04,16,4,270.65,980
331,4.67,17,4,159.33,707
265,7.6,11,10,436.77,397
458,7.93,8,12,420.54,391
276,3.81,17,6,75.76,704
175,2.78,13,14,16.87,430
289,9.74,10,5,317.15,962
334,5.78,12,10,41.8,373
130,9.18,8,11,472.58,610
242,5.75,12,12,166.89,994
69,7.46,16,3,354.61,610
466,3.14,15,3,112.96,182
161,7.43,6,11,61.84,551
177,7.31,11,9,85.85,919
230,6.11,16,2,414.32,490
311,2.61,12,12,299.99,221
401,7.54,16,9,138.72,141
330,6.6,16,7,132.0,257
344,9.39,12,13,190.18,324
425,9.84,6,6,391.97,205
103,5.43,7,2,134.79,144
353,9.03,9,8,475.64,919
353,8.54,10,4,149.49,494
127,9.88,8,5,434.17,440
398,4.12,17,2,79.96,410
63,7.6,11,8,253.18,772
301,2.72,16,7,277.66,951
421,6.3,15,3,87.03,696
363,3.03,11,6,269.73,843
403,6.3,6,8,173.73,669
272,6.57,9,2,30.13,885
97,2.69,14,2,105.52,551
320,6.05,12,14,423.04,724
393,7.31,16,12,163.46,62
455,4.3,10,14,21.29,286
144,7.34,9,8,272.94,330
162,9.77,16,2,108.45,755
397,8.67,13,10,405.77,300
53,3.36,17,8,456.31,964
434,4.87,8,7,139.99,366
277,5.56,14,10,222.06,666
264,2.82,8,6,284.57,318
301,5.44,7,3,49.23,711
237,5.89,10,4,34.66,725
337,2.63,9,7,48.22,624
272,2.88,14,8,108.28,305
84,6.76,6,12,136.57,893
283,4.28,14,4,397.14,945
277,2.99,15,14,157.81,466
304,3.56,14,14,403.57,135
118,3.94,7,12,449.41,852
251,7.01,11,4,455.63,619
368,7.79,9,13,304.83,701
273,3.51,16,4,240.68,666
273,3.36,15,2,405.84,251
149,5.8,13,12,86.88,869
190,4.74,13,3,158.12,510
87,4.36,15,5,377.89,319
196,5.62,10,11,210.26,548
111,9.71,7,2,48.48,614
95,3.33,8,7,367.33,622
308,9.34,13,8,440.9,367
435,4.3,13,13,487.87,292
352,3.39,6,6,141.61,230
460,7.24,17,2,175.87,574
495,9.26,13,4,147.83,450
234,3.68,8,7,355.69,609
266,5.94,10,7,267.09,266
76,7.61,7,2,35.49,937
375,9.96,17,10,58.75,742
117,8.6,6,12,286.23,805
308,4.44,7,7,53.5,161
137,8.15,10,14,29.11,505
323,6.6,11,5,37.03,753
373,2.97,14,12,72.28,703
191,2.83,12,13,442.42,357
354,8.28,16,3,253.61,302
414,6.86,14,6,283.14,812
229,6.36,8,2,206.17,725
446,9.46,9,13,237.99,459
485,7.62,10,2,246.68,421
404,6.99,16,13,389.26,920
207,7.16,14,14,15.77,786
408,5.75,6,3,106.58,720
414,8.86,11,14,276.01,95
247,7.15,12,3,19.97,503
435,7.62,10,9,113.6,387
182,6.31,17,10,139.96,115
232,7.26,12,13,209.87,353
362,9.3,7,4,397.16,118
65,6.51,7,10,259.27,656
422,3.69,7,4,233.23,186
103,5.94,9,2,184.54,835
67,7.05,14,2,157.58,304
180,8.69,17,14,495.9,656
185,5.26,16,8,305.86,566
67,8.67,11,3,222.68,537
153,5.3,10,7,160.47,513
280,9.0,7,6,494.13,50
64,5.73,8,9,458.23,948
338,6.5,7,6,131.01,257
210,4.93,6,10,173.68,649
405,5.56,7,4,148.51,432
124,7.72,6,12,475.15,552
306,9.63,9,8,129.91,576
225,8.35,17,13,37.63,534
360,2.69,14,3,269.01,282
175,5.26,8,8,188.64,951
272,8.0,14,2,49.92,163
293,9.0,11,8,325.93,444
285,6.55,14,2,224.5,272
453,2.56,17,8,107.12,400
124,9.67,17,3,130.86,686
345,2.84,10,14,106.15,145
290,7.33,8,3,476.61,941
229,4.75,10,11,16.28,186
276,6.29,14,6,189.91,783
98,7.01,8,8,18.83,289
71,6.7,9,11,371.03,68
275,5.53,13,11,445.95,569
93,7.95,17,13,390.64,163
153,5.51,17,10,326.56,703
227,4.37,8,2,240.64,142
275,5.41,11,10,264.06,643
458,6.79,9,14,368.03,214
415,2.94,12,2,135.58,969
247,3.35,10,8,451.37,513
83,7.78,15,10,335.26,151
202,8.38,7,5,294.31,868
64,4.0,11,4,313.11,93
78,5.76,13,3,376.14,536
202,7.49,9,12,403.55,593
195,8.0,11,11,147.73,253
332,9.05,14,9,127.11,369
77,4.32,7,11,297.43,357
314,4.93,8,14,142.12,494
111,8.11,6,11,198.92,257
493,4.65,17,8,62.44,831
257,8.84,12,13,322.28,991
116,8.3,9,7,36.25,412
413,4.68,17,14,330.58,305
115,7.11,6,6,289.89,371
403,9.41,7,12,452.49,577
464,5.59,11,5,242.48,460
222,6.71,10,12,259.15,427
473,6.23,6,7,91.73,261
257,6.85,7,14,20.36,904
316,9.02,17,6,125.48,928
366,6.24,16,7,113.78,416
69,8.74,16,8,382.89,103
89,4.56,14,9,92.54,308
377,5.41,9,6,417.31,752
178,6.15,7,14,181.5,702
309,5.98,11,11,380.83,320
207,5.75,17,4,226.77,504
409,9.91,11,4,493.42,527
142,3.63,11,14,456.98,194
187,5.94,11,10,405.56,874
313,7.98,13,2,460.82,890
54,7.49,9,14,321.69,990
102,8.28,9,5,499.68,119
367,3.49,14,11,166.83,608
371,4.01,15,4,35.1,176
66,3.64,9,2,16.26,497
423,4.94,8,6,159.11,933
350,5.96,17,7,396.63,150
365,4.67,15,11,10.12,424
378,9.04,6,11,413.27,525
436,4.94,16,12,468.88,516
484,8.13,16,9,287.29,620
108,8.21,12,2,468.73,849
252,7.51,12,14,352.05,522
147,8.41,17,5,336.23,327
284,9.05,6,5,407.62,961
178,5.91,7,4,113.64,446
379,3.08,9,2,230.51,554
377,8.21,6,11,251.74,349
420,5.14,7,13,497.34,216
413,3.01,11,14,320.26,859
440,2.8,13,14,440.34,533
464,8.81,13,10,100.07,882
409,4.55,13,5,143.14,483
61,5.57,17,7,410.77,93
338,7.89,11,2,110.44,919
112,3.11,15,13,336.22,368
456,8.49,9,4,477.31,472
296,4.04,6,7,254.49,251
206,3.44,17,4,264.91,999
91,4.1,13,12,454.26,91
163,5.53,12,8,35.88,239
103,3.46,9,8,201.22,975
162,4.12,14,13,33.06,604
395,9.83,7,6,164.81,765
330,4.59,9,11,150.55,142
299,6.29,15,11,147.0,756
85,2.51,15,5,213.87,890
250,7.29,15,2,410.73,270
452,4.01,13,8,428.11,444
78,8.45,7,7,251.69,450
78,8.5,7,10,14.09,787
150,5.32,17,2,263.92,484
374,4.87,11,10,310.43,540
202,8.03,11,11,225.81,62
58,3.07,12,6,276.79,461
337,6.52,7,2,253.29,246
163,7.58,11,7,337.59,474
78,5.03,14,11,118.03,787
256,9.2,12,9,334.31,642
294,3.49,14,7,360.05,531
378,8.8,7,6,377.16,306
266,9.76,9,2,33.41,123
74,2.51,17,6,431.95,727
219,7.1,7,13,135.76,552
219,6.56,16,3,470.97,483
292,4.82,7,5,123.18,447
398,9.09,6,6,91.76,636
442,3.91,13,11,300.32,779
109,4.77,16,3,195.56,563
391,6.55,11,11,189.69,110
178,7.13,7,5,323.21,195
274,5.83,6,5,335.18,180
452,4.21,14,10,483.76,246
448,9.16,17,3,358.45,534
362,4.31,16,14,444.55,622
456,4.95,8,4,124.18,815
378,5.31,12,10,212.54,783
90,8.33,8,9,232.44,317
85,3.87,16,3,90.64,728
52,6.62,11,13,448.43,966
110,3.66,10,13,314.52,458
83,8.69,7,14,472.45,620
466,7.52,12,7,51.85,773
213,5.29,6,12,201.28,877
407,3.69,14,14,48.16,57
152,3.16,10,8,328.85,243
447,8.0,14,8,208.8,327
327,5.84,14,12,232.38,812
296,8.94,11,12,415.51,978
275,9.64,10,2,224.77,981
192,4.18,6,3,426.66,136
499,3.99,8,7,27.81,974
376,4.52,10,8,18.17,260
481,4.64,15,10,452.98,170
144,7.57,12,14,283.36,376
64,4.0,12,8,318.71,89
107,7.05,11,8,464.9,789
361,9.39,10,11,113.25,668
166,3.09,15,6,412.08,205
395,5.05,13,4,297.26,451
62,8.42,8,5,209.1,632
276,6.83,11,8,161.72,160
190,8.27,10,10,271.68,743
304,3.42,17,9,327.65,675
334,6.03,8,3,53.95,985
125,3.98,12,9,363.51,882
385,3.45,17,3,150.83,282
434,9.68,9,12,29.25,551
422,7.43,8,5,315.42,164
127,4.49,16,9,363.96,283
368,7.39,11,4,428.16,480
151,9.56,15,6,310.94,747
424,4.64,16,14,472.45,716
469,4.91,10,2,413.15,73
496,5.8,16,8,221.74,465
269,8.2,13,3,103.62,443
452,8.25,6,11,65.29,402
157,8.4,14,5,230.3,381
271,2.95,12,11,73.4,494
485,6.8,10,3,19.0,283
82,5.14,6,11,97.47,85
214,5.11,16,10,489.35,142
418,3.41,7,3,33.75,206
284,8.12,11,12,289.39,260
360,9.4,15,13,307.29,547
451,6.39,6,11,189.48,912
102,2.77,12,13,95.5,828
360,5.58,16,2,28.51,888
147,4.31,16,5,102.65,114
95,7.08,14,2,402.89,482
250,2.83,7,4,438.93,94
494,4.94,7,9,302.17,894
261,5.58,17,9,461.17,59
271,8.58,15,8,432.2,717
235,4.35,13,3,337.89,284
291,7.45,10,11,90.49,154
488,3.62,11,8,26.81,985
452,3.76,9,14,80.1,795
63,5.72,6,8,127.67,398
326,8.31,11,5,147.09,915
264,3.29,8,11,448.59,228
453,8.63,15,9,290.66,989
145,8.55,13,10,474.73,513
462,5.46,9,11,167.12,373
146,3.3,16,4,403.11,488
203,8.67,12,13,377.37,806
374,8.2,11,8,361.42,278
275,2.57,15,8,45.46,573
412,3.22,14,13,217.85,109
192,9.68,8,7,136.69,638
166,7.85,9,3,195.39,473
473,9.79,9,14,479.41,303
454,2.97,17,9,448.43,462
443,2.59,17,8,42.14,535
160,6.73,13,14,235.45,466
92,7.38,16,11,432.3,496
462,2.66,12,13,302.23,887
278,8.91,7,11,192.99,198
425,5.15,8,10,317.97,136
298,6.03,6,12,46.3,965
190,6.7,8,7,124.12,503
274,7.8,13,4,480.58,784
352,4.02,17,7,285.32,835
487,8.45,12,8,282.09,905
183,4.36,9,6,272.92,998
109,5.38,10,2,314.54,270
341,7.47,7,7,247.78,820
111,9.78,11,6,261.58,938
